Title,Publisher,Platform,ISSN,Period,TR_B1,TR_B2,Cost_Category
Journal of Information Science,SAGE Publications,SAGE Journals,0165-5515,Jan–Dec 2023,412,867,STEM-Social
Library & Information Science Research,Elsevier,ScienceDirect,0740-8188,Jan–Dec 2023,389,741,Social Sciences
College & Research Libraries,ALA Publishing,ALA Digital Library,0010-0870,Jan–Dec 2023,334,512,Social Sciences
Journal of the American Chemical Society,ACS Publications,ACS Pubs,0002-7863,Jan–Dec 2023,1248,1893,STEM
Nature Biotechnology,Springer Nature,SpringerLink,1087-0156,Jan–Dec 2023,987,2341,STEM
Journal of Academic Librarianship,Elsevier,ScienceDirect,0099-1333,Jan–Dec 2023,156,489,Social Sciences
Cataloging & Classification Quarterly,Taylor & Francis,T&F Online,0163-9374,Jan–Dec 2023,44,178,Social Sciences
IEEE Transactions on Information Theory,IEEE,IEEE Xplore,0018-9448,Jan–Dec 2023,3,29,STEM
Portal: Libraries and the Academy,Johns Hopkins UP,Project MUSE,1531-2542,Jan–Dec 2023,201,384,Social Sciences
Serials Review,Elsevier,ScienceDirect,0098-7913,Jan–Dec 2023,0,12,Social Sciences
